"split","class","output_image","output_label","source_image","random_seed"
"train","meteor","train/images/uaemmn_pos_train_000000.jpg","train/labels/uaemmn_pos_train_000000.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20190919_051841_SCASS_C8P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000001.jpg","train/labels/uaemmn_pos_train_000001.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211215_001501_YAHER_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000002.jpg","train/labels/uaemmn_pos_train_000002.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211214_225536_Liwa_C14P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000003.jpg","train/labels/uaemmn_pos_train_000003.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211214_025737_Home_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000004.jpg","train/labels/uaemmn_pos_train_000004.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20201208_034324_Liwa_C1P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000005.jpg","train/labels/uaemmn_pos_train_000005.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20220317_000629_YAHER_C11P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000006.jpg","train/labels/uaemmn_pos_train_000006.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20221024_224008_Home_C14P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000007.jpg","train/labels/uaemmn_pos_train_000007.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191001_023608_SCASS_C4P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000008.jpg","train/labels/uaemmn_pos_train_000008.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20190913_012621_SCASS_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000009.jpg","train/labels/uaemmn_pos_train_000009.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200122_042237_SCASS_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000010.jpg","train/labels/uaemmn_pos_train_000010.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191021_052616_SCASS_C3P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000011.jpg","train/labels/uaemmn_pos_train_000011.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211215_030144_Liwa_C01P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000012.jpg","train/labels/uaemmn_pos_train_000012.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191015_191114_SCASS_C1P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000013.jpg","train/labels/uaemmn_pos_train_000013.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20220118_052533_YAHER_C11P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000014.jpg","train/labels/uaemmn_pos_train_000014.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200115_225011_SCASS_C4P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000015.jpg","train/labels/uaemmn_pos_train_000015.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20220901_024812_YAHER_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000016.jpg","train/labels/uaemmn_pos_train_000016.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211218_051348_Home_C8P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000017.jpg","train/labels/uaemmn_pos_train_000017.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20190914_040131_SCASS_C1P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000018.jpg","train/labels/uaemmn_pos_train_000018.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211215_024316_Home_C11P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000019.jpg","train/labels/uaemmn_pos_train_000019.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191021_044747_SCASS_C4P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000020.jpg","train/labels/uaemmn_pos_train_000020.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191117_010107_SCASS_C4P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000021.jpg","train/labels/uaemmn_pos_train_000021.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191220_193924_Home_C10P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000022.jpg","train/labels/uaemmn_pos_train_000022.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191214_211101_Home_C8P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000023.jpg","train/labels/uaemmn_pos_train_000023.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20190916_042551_Home_C11P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000024.jpg","train/labels/uaemmn_pos_train_000024.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200117_052206_SCASS_C14P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000025.jpg","train/labels/uaemmn_pos_train_000025.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211203_034050_Home_C1P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000026.jpg","train/labels/uaemmn_pos_train_000026.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211126_024036_YAHER_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000027.jpg","train/labels/uaemmn_pos_train_000027.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20190514_032203_Home_C5P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000028.jpg","train/labels/uaemmn_pos_train_000028.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191129_053300_SCASS_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000029.jpg","train/labels/uaemmn_pos_train_000029.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20210412_042800_Liwa_C14P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000030.jpg","train/labels/uaemmn_pos_train_000030.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191003_024302_Home_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000031.jpg","train/labels/uaemmn_pos_train_000031.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200109_043955_YAHER_C11P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000032.jpg","train/labels/uaemmn_pos_train_000032.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200117_225136_SCASS_C14P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000033.jpg","train/labels/uaemmn_pos_train_000033.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191030_221110_Home_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000034.jpg","train/labels/uaemmn_pos_train_000034.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200109_021242_YAHER_C4P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000035.jpg","train/labels/uaemmn_pos_train_000035.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211214_041101_Home_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000036.jpg","train/labels/uaemmn_pos_train_000036.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191129_230045_Home_C12P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000037.jpg","train/labels/uaemmn_pos_train_000037.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211214_023549_Home_C7P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000038.jpg","train/labels/uaemmn_pos_train_000038.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191206_045154_SCASS_C13P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000039.jpg","train/labels/uaemmn_pos_train_000039.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20211214_201458_YAHER_C15P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000040.jpg","train/labels/uaemmn_pos_train_000040.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20220904_051939_YAHER_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000041.jpg","train/labels/uaemmn_pos_train_000041.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191012_030206_Home_C12P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000042.jpg","train/labels/uaemmn_pos_train_000042.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191201_041409_SCASS_C2P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000043.jpg","train/labels/uaemmn_pos_train_000043.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20200105_012356_YAHER_C16P.jpg","42"
"train","meteor","train/images/uaemmn_pos_train_000044.jpg","train/labels/uaemmn_pos_train_000044.txt","AlowaisEtAl_Meteord_Detection_YOLO/YOLO_UAEMMN_METEORS/M20191027_030403_Home_C2P.jpg","42"
